Date,Open,High,Low,Close,Adj Close,Volume
2015-09-18,534.619995,546.239990,531.349976,540.260010,540.260010,6125600
2015-09-21,544.330017,549.780029,539.590027,548.390015,548.390015,3283300
2015-09-22,539.710022,543.549988,532.659973,538.400024,538.400024,3841700
2015-09-23,538.299988,541.210022,534.000000,536.070007,536.070007,2237600
2015-09-24,530.549988,534.559998,522.869995,533.750000,533.750000,3501000
2015-09-25,542.570007,542.799988,521.400024,524.250000,524.250000,4031000
2015-09-28,520.020020,520.280029,494.329987,504.059998,504.059998,5434500
2015-09-29,506.000000,511.480011,490.500000,496.070007,496.070007,4457500
2015-09-30,505.440002,512.799988,501.670013,511.890015,511.890015,3990400
2015-10-01,511.000000,520.799988,506.000000,520.719971,520.719971,3768500
2015-10-02,512.989990,532.599976,508.100006,532.539978,532.539978,4597800
2015-10-05,536.989990,545.909973,536.000000,543.679993,543.679993,3391400
2015-10-06,545.500000,551.500000,533.330017,537.479980,537.479980,4502800
2015-10-07,541.789978,542.000000,529.000000,541.940002,541.940002,3812100
2015-10-08,536.710022,539.390015,519.890015,533.159973,533.159973,4676400
2015-10-09,534.479980,541.789978,530.270020,539.799988,539.799988,3537400
2015-10-12,539.960022,550.820007,539.799988,550.190002,550.190002,2776100
2015-10-13,546.260010,553.200012,543.099976,548.900024,548.900024,2938000
2015-10-14,551.340027,552.250000,539.679993,544.830017,544.830017,3582100
2015-10-15,547.750000,563.000000,547.000000,562.440002,562.440002,4937000
2015-10-16,565.270020,570.940002,560.309998,570.760010,570.760010,4315800
2015-10-19,570.760010,579.000000,567.380005,573.150024,573.150024,4375400
2015-10-20,572.000000,573.000000,555.280029,560.880005,560.880005,4327900
2015-10-21,563.869995,565.250000,552.520020,555.770020,555.770020,3343600
2015-10-22,562.700012,569.150024,556.669983,563.909973,563.909973,7779400
2015-10-23,617.679993,619.450012,595.359985,599.030029,599.030029,10692700
2015-10-26,602.299988,609.849976,596.289978,608.609985,608.609985,4269700
2015-10-27,608.599976,614.710022,605.530029,611.010010,611.010010,3787100
2015-10-28,612.299988,617.229980,609.500000,617.099976,617.099976,3926200
2015-10-29,617.700012,627.539978,615.390015,626.549988,626.549988,3858600
2015-10-30,626.010010,630.719971,625.280029,625.900024,625.900024,3874400
2015-11-02,627.130005,628.630005,620.409973,628.349976,628.349976,2816500
2015-11-03,629.530029,629.890015,622.000000,625.309998,625.309998,3246900
2015-11-04,627.760010,645.929993,627.349976,640.950012,640.950012,4831800
2015-11-05,647.099976,657.000000,643.090027,655.650024,655.650024,4723800
2015-11-06,655.000000,662.260010,652.000000,659.369995,659.369995,4092200
2015-11-09,658.650024,661.960022,647.849976,655.489990,655.489990,4048800
2015-11-10,651.010010,660.000000,647.260010,659.679993,659.679993,3489500
2015-11-11,663.250000,675.960022,663.250000,673.250000,673.250000,5387300
2015-11-12,673.000000,675.640015,664.219971,665.599976,665.599976,4284700
2015-11-13,663.570007,667.000000,640.450012,642.349976,642.349976,6261100
2015-11-16,640.919983,649.989990,622.289978,647.809998,647.809998,7435900
2015-11-17,650.650024,653.250000,641.000000,643.299988,643.299988,4320200
2015-11-18,646.510010,664.880005,646.369995,663.539978,663.539978,4469800
2015-11-19,664.989990,672.859985,659.000000,661.270020,661.270020,4705200
2015-11-20,667.940002,668.869995,657.570007,668.450012,668.450012,3896100
2015-11-23,671.500000,682.770020,670.119995,678.989990,678.989990,4385100
2015-11-24,674.140015,675.799988,661.210022,671.150024,671.150024,4543400
2015-11-25,675.000000,679.700012,671.239990,675.340027,675.340027,2697900
2015-11-27,680.799988,680.989990,672.099976,673.260010,673.260010,1966800
2015-11-30,675.900024,681.289978,664.599976,664.799988,664.799988,5693200
